ticker,name,market
005930,Samsung Electronics,KOSPI
000660,SK hynix,KOSPI
035420,NAVER,KOSPI
005380,Hyundai Motor,KOSPI
051910,LG Chem,KOSPI
207940,Samsung Biologics,KOSPI
068270,Celltrion,KOSPI
035720,Kakao,KOSPI
066570,LG Electronics,KOSPI
091990,Celltrion Healthcare,KOSDAQ
